"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"1788","2020/09/28","AG",97115,0,0,5,0,101,3,6,6,0.00104000411882819,0,6.17824229006848e-05,6.17824229006848e-05
"1787","2020/09/29","AG",97115,0,0,5,0,101,3,6,6,0.00104000411882819,0,6.17824229006848e-05,6.17824229006848e-05
"1786","2020/09/30","AG",97115,0,0,5,0,101,3,6,6,0.00104000411882819,0,6.17824229006848e-05,6.17824229006848e-05
"1785","2020/10/01","AG",97115,0,0,4,0,101,3,6,6,0.00104000411882819,0,6.17824229006848e-05,6.17824229006848e-05
"1784","2020/10/02","AG",97115,5,0,8,0,106,3,10,11,0.00109148947124543,5.14853524172373e-05,0.000102970704834475,0.000113267775317922
"1783","2020/10/03","AG",97115,0,0,8,0,106,3,10,11,0.00109148947124543,0,0.000102970704834475,0.000113267775317922
"1782","2020/10/04","AG",97115,1,0,6,0,107,3,11,12,0.00110178654172888,1.02970704834475e-05,0.000113267775317922,0.00012356484580137
"1781","2020/10/05","AG",97115,0,0,6,0,107,3,11,12,0.00110178654172888,0,0.000113267775317922,0.00012356484580137
"1780","2020/10/06","AG",97115,0,0,6,0,107,3,10,12,0.00110178654172888,0,0.000102970704834475,0.00012356484580137
"1779","2020/10/07","AG",97115,1,0,7,0,108,3,10,13,0.00111208361221233,1.02970704834475e-05,0.000102970704834475,0.000133861916284817
"1778","2020/10/08","AG",97115,0,0,7,0,108,3,10,12,0.00111208361221233,0,0.000102970704834475,0.00012356484580137
"1777","2020/10/09","AG",97115,3,0,5,0,111,3,10,15,0.00114297482366267,3.08912114503424e-05,0.000102970704834475,0.000154456057251712
"1776","2020/10/10","AG",97115,0,0,5,0,111,3,10,15,0.00114297482366267,0,0.000102970704834475,0.000154456057251712
"1775","2020/10/11","AG",97115,0,0,4,0,111,3,10,15,0.00114297482366267,0,0.000102970704834475,0.000154456057251712
"1774","2020/10/12","AG",97115,0,0,4,0,111,3,10,14,0.00114297482366267,0,0.000102970704834475,0.000144158986768264
"1773","2020/10/13","AG",97115,0,0,4,0,111,3,10,13,0.00114297482366267,0,0.000102970704834475,0.000133861916284817
"1772","2020/10/14","AG",97115,0,0,3,0,111,3,5,13,0.00114297482366267,0,5.14853524172373e-05,0.000133861916284817
"1771","2020/10/15","AG",97115,1,0,4,0,112,3,6,11,0.00115327189414612,1.02970704834475e-05,6.17824229006848e-05,0.000113267775317922
"1770","2020/10/16","AG",97115,0,0,1,0,112,3,5,11,0.00115327189414612,0,5.14853524172373e-05,0.000113267775317922
"1769","2020/10/17","AG",97115,0,0,1,0,112,3,5,11,0.00115327189414612,0,5.14853524172373e-05,0.000113267775317922
