"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
123,"2020-08-01",0,0,0,0,0.0181437822337697,0,0,0
124,"2020-08-02",0,0,0,0,0.0179853791661528,0,0,0
125,"2020-08-03",0,0,0,0,0.0178353628303588,0,0,0
126,"2020-08-04",0,0,0,0,0.0176960845688112,0,0,0
127,"2020-08-05",0,0,0,0,0.0175440398221927,0,0,0
128,"2020-08-06",0,0,0,0,0.0174004887867654,0,0,0
129,"2020-08-07",0,0,0,0,0.0172606955152475,0,0,0
130,"2020-08-08",0,0,0,0,0.0171272930655893,0,0,0
131,"2020-08-09",0,0,0,0,0.0169873865095295,0,0,0
132,"2020-08-10",0,0,0,0,0.0168524418958437,0,0,0
133,"2020-08-11",0,0,0,0,0.0167229828075045,0,0,0
134,"2020-08-12",0,0,0,0,0.0165909782105722,0,0,0
135,"2020-08-13",0,0,0,0,0.0164569175057457,0,0,0
136,"2020-08-14",0,0,0,0,0.0163367037067623,0,0,0
137,"2020-08-15",0,0,0,0,0.0162140918240324,0,0,0
138,"2020-08-16",0,0,0,0,0.0160920525681346,0,0,0
139,"2020-08-17",0,0,0,0,0.0159642943811352,0,0,0
140,"2020-08-18",0,0,0,0,0.0158483069821269,0,0,0
141,"2020-08-19",0,0,0,0,0.0157372067703849,0,0,0
142,"2020-08-20",0,0,0,0,0.0156244682895336,0,0,0
143,"2020-08-21",0,0,0,0,0.0155105703638912,0,0,0
144,"2020-08-22",0,0,0,0,0.0153975548388704,0,0,0
145,"2020-08-23",0.00554401818196806,0,0.00184800606065602,0.000616002020218673,0.0153273088425188,0.00184800606065602,0,0.000616002020218673
146,"2020-08-24",0.0165979815184649,0.00177178654448378,0.00278636302698104,0.00391325699544233,0.0153351923777361,0.00278636302698104,0.00177178654448378,0.00391325699544233
147,"2020-08-25",0.0205328378862955,0.00303266462422624,0.00309543040951295,0.00540085999284038,0.0153707400830414,0.00309543040951295,0.00303266462422624,0.00540085999284038
148,"2020-08-26",0.0436340746296634,0.00510529601013794,0.00404200905514442,0.0104234249094764,0.0155704136914115,0.00404200905514442,0.00510529601013794,0.0104234249094764
149,"2020-08-27",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0158261815993639,0.00399011430253509,0.00515316192282264,0.0103518201548882
150,"2020-08-28",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0160784209615994,0.00399011430253509,0.00515316192282264,0.0103518201548882
151,"2020-08-29",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0163272050796093,0.00399011430253509,0.00515316192282264,0.0103518201548882
152,"2020-08-30",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0165726053771709,0.00399011430253509,0.00515316192282264,0.0103518201548882
153,"2020-08-31",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0677011453160817,0.00399011430253509,0.00515316192282264,0.0103518201548882
154,"2020-09-01",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0170535227368491,0.00399011430253509,0.00515316192282264,0.0103518201548882
155,"2020-09-02",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0172891713364618,0.00399011430253509,0.00515316192282264,0.0103518201548882
156,"2020-09-03",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0175217007113451,0.00399011430253509,0.00515316192282264,0.0103518201548882
157,"2020-09-04",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0177511708926285,0.00399011430253509,0.00515316192282264,0.0103518201548882
158,"2020-09-05",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0179776380635447,0.00399011430253509,0.00515316192282264,0.0103518201548882
159,"2020-09-06",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0182011685410769,0.00399011430253509,0.00515316192282264,0.0103518201548882
160,"2020-09-07",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.069094569804159,0.00433863915600308,0.00515316192282264,0.0103518333693234
161,"2020-09-08",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0186396291911457,0.00432623948569832,0.00515316212114711,0.0103518086192011
162,"2020-09-09",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0675798692421497,0.0043144863543364,0.00515316151447735,0.0103518215249739
163,"2020-09-10",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0190670001320496,0.00430337416594057,0.00515316208946673,0.0103518224438753
164,"2020-09-11",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0192766422907918,0.00429288190159875,0.00515316188682753,0.0103518188618431
165,"2020-09-12",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0194837425429081,0.00428298024466771,0.0051531630362814,0.010351818833629
166,"2020-09-13",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0552842393612752,0.00427363592003599,0.00515316386787544,0.010351820192701
167,"2020-09-14",0.0524009201057512,0.00515316192282264,0.00399011430253509,0.0103518201548882,0.0561298648386964,0.00426481432980899,0.00515316316856428,0.0103518210754657
168,"2020-09-15",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0566727842481786,0.00425642240521704,0.00515228816129226,0.0103513189166747
169,"2020-09-16",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0571014454027936,0.00424849434819819,0.0051522090187958,0.010351189452545
170,"2020-09-17",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0574686639387036,0.00424099713943647,0.00515225886798263,0.0103512517404773
171,"2020-09-18",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0576632189732158,0.00423390002165393,0.00515229140075113,0.0103513332302489
172,"2020-09-19",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0579837681972764,0.00422717450389492,0.00515227597259903,0.010351344716187
173,"2020-09-20",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0581192209819709,0.00422079429348455,0.00515224649279902,0.0103513114274594
174,"2020-09-21",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0564677329683362,0.00421473518398898,0.0051522308810811,0.010351276029978
175,"2020-09-22",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0557854701168004,0.00420897492104245,0.0051522471680645,0.0103512503815025
176,"2020-09-23",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0550076820039318,0.00420349305956057,0.00515230899784101,0.010351231083125
177,"2020-09-24",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0542138814948998,0.00419827082064949,0.00515232530066738,0.0103512138921704
178,"2020-09-25",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0534349690746677,0.0041932909529938,0.00515233284558456,0.0103511979010211
179,"2020-09-26",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0528510447211626,0.00418853760168865,0.0051523384030709,0.0103511848566075
180,"2020-09-27",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0520856343894732,0.00418399618586448,0.00515234184101436,0.0103511814453015
181,"2020-09-28",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0517067073387152,0.00417965328566826,0.00515234250868467,0.0103512859634491
182,"2020-09-29",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0521660331944038,0.00417549653867744,0.00515233926369726,0.0103514558701858
183,"2020-09-30",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0524929898316777,0.00417151454546738,0.0051523353310357,0.010351491767883
184,"2020-10-01",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0527805062675372,0.00416769678361894,0.00515232889380969,0.0103515085172755
185,"2020-10-02",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0530184353064506,0.00416403352980684,0.00515232166032037,0.0103515155445569
