"","cutoff","date","lag","predType","fit_resp","right_lwr","right_upr","strawman","scaled_abs_err"
"75",2020-10-11,2020-10-12,1,"nearFar",2.32439034708145,1.46087259149054,3.69833106396562,NA,NA
"76",2020-10-11,2020-10-13,2,"nearFar",5.5963521501175,3.66338597458701,8.54923767394058,NA,NA
"77",2020-10-11,2020-10-14,3,"nearFar",3.69011615742625,2.3769656469364,5.72871436861056,NA,NA
"78",2020-10-11,2020-10-15,4,"nearFar",1.55702278803553,0.766908240705468,3.16116040196914,NA,NA
"79",2020-10-11,2020-10-16,5,"nearFar",1.31597889241043,0.787713056272363,2.19851687296522,NA,NA
"80",2020-10-11,2020-10-17,6,"nearFar",2.70494244972903,1.49097016801046,4.90735080642792,NA,NA
"81",2020-10-11,2020-10-18,7,"nearFar",2.88854411267113,1.81249736915872,4.60342024922208,NA,NA
"82",2020-10-11,2020-10-19,8,"nearFar",2.96880183654516,1.82318036466435,4.83429095414625,NA,NA
"83",2020-10-11,2020-10-20,9,"nearFar",1.87599293324202,1.25819280533991,2.79714640763919,NA,NA
"84",2020-10-11,2020-10-12,1,"nearFar",2.32439034708145,1.46087259149054,3.69833106396562,NA,NA
"85",2020-10-11,2020-10-13,2,"nearFar",5.5963521501175,3.66338597458701,8.54923767394058,NA,NA
"86",2020-10-11,2020-10-14,3,"nearFar",3.69011615742625,2.3769656469364,5.72871436861056,NA,NA
"87",2020-10-11,2020-10-15,4,"nearFar",1.55702278803553,0.766908240705468,3.16116040196914,NA,NA
"88",2020-10-11,2020-10-16,5,"nearFar",1.31597889241043,0.787713056272363,2.19851687296522,NA,NA
"89",2020-10-11,2020-10-17,6,"nearFar",2.70494244972903,1.49097016801046,4.90735080642792,NA,NA
"90",2020-10-11,2020-10-18,7,"nearFar",2.88854411267113,1.81249736915872,4.60342024922208,NA,NA
"91",2020-10-11,2020-10-19,8,"nearFar",2.96880183654516,1.82318036466435,4.83429095414625,NA,NA
"92",2020-10-11,2020-10-20,9,"nearFar",1.87599293324202,1.25819280533991,2.79714640763919,NA,NA
"93",2020-10-26,2020-10-27,1,"nearFuture",3.52741918332934,2.05083633219796,6.06712778566026,2,0.527418655910679
"94",2020-10-26,2020-10-28,2,"nearFuture",3.84603574359535,2.40354051670478,6.15425071398119,2,0.846034897560457
"95",2020-10-26,2020-10-29,3,"nearFuture",5.15131676710049,3.07004896498538,8.64353133701143,2,2.15131461578587
"96",2020-10-26,2020-10-30,4,"nearFuture",2.36389029286498,1.50797975434129,3.70560499941339,2,0.636109071025951
"97",2020-10-26,2020-10-31,5,"nearFuture",2.48541314459773,1.38774104308253,4.45131930782841,2,0.514586340815928
"98",2020-10-26,2020-11-01,6,"nearFuture",4.95775664875641,3.3766805571332,7.27914606442851,2,1.95775469100172
"99",2020-10-26,2020-11-02,7,"nearFuture",9.07261268703461,5.88899590118902,13.9773065476786,2,6.072606614428
"100",2020-10-26,2020-11-03,8,"nearFuture",10.9244901638889,5.59626516629309,21.3257381118625,2,7.92448223940665
"101",2020-10-26,2020-11-04,9,"nearFuture",7.37145897472441,4.42440190134731,12.2815260972332,2,4.37145460326981
"102",2020-10-26,2020-10-27,1,"nearFar",3.52741918332934,2.05083633219796,6.06712778566026,NA,NA
"103",2020-10-26,2020-10-28,2,"nearFar",3.84603574359535,2.40354051670478,6.15425071398119,NA,NA
"104",2020-10-26,2020-10-29,3,"nearFar",5.15131676710049,3.07004896498538,8.64353133701143,NA,NA
"105",2020-10-26,2020-10-30,4,"nearFar",2.36389029286498,1.50797975434129,3.70560499941339,NA,NA
"106",2020-10-26,2020-10-31,5,"nearFar",2.48541314459773,1.38774104308253,4.45131930782841,NA,NA
"107",2020-10-26,2020-11-01,6,"nearFar",4.95775664875641,3.3766805571332,7.27914606442851,NA,NA
"108",2020-10-26,2020-11-02,7,"nearFar",9.07261268703461,5.88899590118902,13.9773065476786,NA,NA
"109",2020-10-26,2020-11-03,8,"nearFar",10.9244901638889,5.59626516629309,21.3257381118625,NA,NA
"110",2020-10-26,2020-11-04,9,"nearFar",7.37145897472441,4.42440190134731,12.2815260972332,NA,NA
"111",2020-10-26,2020-10-27,1,"nearFar",3.52741918332934,2.05083633219796,6.06712778566026,NA,NA
"112",2020-10-26,2020-10-28,2,"nearFar",3.84603574359535,2.40354051670478,6.15425071398119,NA,NA
"113",2020-10-26,2020-10-29,3,"nearFar",5.15131676710049,3.07004896498538,8.64353133701143,NA,NA
"114",2020-10-26,2020-10-30,4,"nearFar",2.36389029286498,1.50797975434129,3.70560499941339,NA,NA
"115",2020-10-26,2020-10-31,5,"nearFar",2.48541314459773,1.38774104308253,4.45131930782841,NA,NA
