"","date","regioncode","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","population"
"83",2020-05-29,"BRMG",546,2,9232,257,427.647191591241,19129.7792964426,0.00163380092260027,0.00161895646208541,0.00164878149425408,7.56813665694522e-05,0.0009036784054622,21168791
"84",2020-05-30,"BRMG",398,6,9630,263,242.608062457904,19372.3873589005,0.00164526157061072,0.00163056075443176,0.00166009492646706,4.14489846191398e-05,0.000915139053472656,21168791
"85",2020-05-31,"BRMG",834,8,10464,271,1931.64572996393,20310.3940450748,0.00173651126597424,0.0017213376158774,0.00175181867231688,0.000320558540897687,0.000959449882852301,21168791
"86",2020-06-01,"BRMG",206,7,10670,278,0,19169.1167736846,0.00171172284617232,0.00169704101991872,0.00172653169117184,0,0.000905536682453173,21168791
"87",2020-06-02,"BRMG",269,11,10939,289,0,18116.4365700028,0.00171933423360423,0.00170501262488407,0.00173377613966022,0,0.000855808750249499,21168791
"88",2020-06-03,"BRMG",1071,17,12010,306,2320.54396243303,19699.3813957639,0.00188809771456647,0.00187304415502251,0.00190327225879429,0.00036481380116743,0.000930586040353644,21168791
"89",2020-06-04,"BRMG",1024,17,13034,323,4243.27313272895,23632.2312886515,0.0020465817416647,0.00203091751969734,0.00206236677988751,0.000666273232955306,0.00111637132648017,21168791
"90",2020-06-05,"BRMG",961,21,13995,344,3500.40229212691,27132.6335807784,0.00221193848273352,0.00219578884339982,0.00222820689981372,0.000553245768846311,0.00128172806754899,21168791
"91",2020-06-06,"BRMG",944,24,14939,368,3601.80097311264,30049.8039418215,0.00238208523193203,0.00236553729571763,0.00239874892797547,0.000574322036709955,0.00141953330928637,21168791
"92",2020-06-07,"BRMG",764,8,15703,376,551.697652627059,29076.562900777,0.00240814707233789,0.00239165476746106,0.0024247531043813,8.46060680754976e-05,0.00137355803176369,21168791
"93",2020-06-08,"BRMG",180,4,15883,380,0,27171.0613180766,0.0023151431055799,0.00229938240902412,0.00233101183095026,0,0.00128354336901321,21168791
"94",2020-06-09,"BRMG",219,19,16102,399,0,25447.4655377609,0.00232087340317241,0.00230561085805276,0.00233623698237711,0,0.00120212181875483,21168791
"95",2020-06-10,"BRMG",1399,10,17501,409,0,23286.6918545135,0.00244433894266914,0.00242852901769777,0.00246025179156103,0,0.00110004826702259,21168791
"96",2020-06-11,"BRMG",947,22,18448,431,471.075783501205,22653.706246193,0.00257448615336514,0.00255843464402939,0.00259063836918271,6.57403556921881e-05,0.00107014643614711,21168791
"97",2020-06-12,"BRMG",1658,15,20106,446,6865.35114523989,29300.3746747873,0.00275471513702997,0.00273793303885745,0.00277160010069082,0.000940619055049157,0.00138413075526077,21168791
"98",2020-06-13,"BRMG",508,8,20614,454,0,28097.7192862137,0.0027254688309192,0.00270905027185496,0.00274198689684183,0,0.00132731809229038,21168791
"99",2020-06-14,"BRMG",767,21,21381,475,365.292605264578,27365.3464046549,0.00280121762963077,0.00278485003107063,0.0028176814266503,4.78585700313779e-05,0.0012927212708867,21168791
"100",2020-06-15,"BRMG",347,6,21728,481,0,24521.3385310473,0.00273264547533799,0.00271679635590514,0.00274858705462203,0,0.00115837217775202,21168791
"101",2020-06-16,"BRMG",296,21,22024,502,0,24093.6913394561,0.00274630756132304,0.00273082455588047,0.00276187835104197,0,0.00113817040091974,21168791
"102",2020-06-17,"BRMG",1323,35,23347,537,2783.37137265316,26634.4546496514,0.00296844559793357,0.00295244208621422,0.0029845358556008,0.000353890713948969,0.00125819441694386,21168791
"103",2020-06-18,"BRMG",1559,33,24906,570,6548.28264614158,31251.091565829,0.00321279262591723,0.0031961282321701,0.00322954390667227,0.000844707066487813,0.00147628135994299,21168791
"104",2020-06-19,"BRMG",1146,30,26052,600,3608.9626380095,34860.0542038385,0.00338327768753504,0.00336628897449393,0.00340035213782954,0.00046868274099206,0.0016467664215608,21168791
"105",2020-06-20,"BRMG",1253,36,27305,636,4437.65077259719,39297.7049764357,0.00359290944083627,0.00357550988835927,0.0036103936649925,0.00058392519157659,0.00185639817486203,21168791
"106",2020-06-21,"BRMG",336,25,27641,661,395.173857562215,37372.3348715649,0.00361157719836489,0.00359448748363592,0.00362874816483027,5.16334753938567e-05,0.00176544493597036,21168791
"107",2020-06-22,"BRMG",1277,27,28918,688,3126.60635223558,36255.6680910715,0.0037592760609138,0.00374190444389105,0.00377672832485913,0.00040645191271389,0.0017126943192491,21168791
"108",2020-06-23,"BRMG",979,32,29897,720,2836.35027630856,35591.6160752532,0.00389326341410316,0.00387574565312697,0.00391086035260467,0.000369356750186757,0.00168132493136964,21168791
"109",2020-06-24,"BRMG",1446,51,31343,771,6240.5698279338,38230.3849300743,0.00418806389788769,0.00416995272309605,0.00420625373415925,0.00083386737704166,0.00180597866595567,21168791
"110",2020-06-25,"BRMG",1426,35,32769,806,4259.21618175419,41937.9034592015,0.00438926651648571,0.00437075014705196,0.00440786132919018,0.000570503676433453,0.00198111944414782,21168791
"111",2020-06-26,"BRMG",6122,27,38891,833,16383.9516663094,58321.8551255109,0.0051632338000358,0.00514183791708248,0.00518471871415166,0.00217516065469239,0.00275508672769791,21168791
"112",2020-06-27,"BRMG",2075,49,40966,882,7225.82378717969,65547.6789126906,0.0055045770438318,0.00548246153402228,0.00552678176462276,0.000970929642671559,0.00309642997149391,21168791
"113",2020-06-28,"BRMG",1775,17,42741,899,1161.58540701198,66709.2643197026,0.00555944958742732,0.0055373223712812,0.00558166522423266,0.000151090884906164,0.00315130251508943,21168791
"114",2020-06-29,"BRMG",1123,41,43864,940,1811.97890116273,68050.1674373641,0.00564504629916975,0.00562308841529999,0.00566708992749673,0.000233191336635563,0.00321464591139683,21168791
"115",2020-06-30,"BRMG",1137,25,45001,965,0,61184.8162921242,0.00562311267006736,0.00560151922464382,0.00564478935663792,0,0.00289033116213978,21168791
"116",2020-07-01,"BRMG",2583,42,47584,1007,4488.33353719249,65673.1498293167,0.00587900590260353,0.00585690346867539,0.00590119174538212,0.000554533863441662,0.00310235713647117,21168791
"117",2020-07-02,"BRMG",3123,52,50707,1059,8439.78065358708,73747.6378776392,0.00625576205477335,0.0062328170663302,0.00627879151104044,0.00104122230783364,0.00348379073125334,21168791
"118",2020-07-03,"BRMG",2644,51,53351,1110,6349.09558151866,80096.7334591578,0.0065556892249891,0.0065321782501744,0.00657928482179596,0.000780167147610875,0.00378371790146909,21168791
"119",2020-07-04,"BRMG",2607,73,55958,1183,8618.00461289255,88714.7380720504,0.00696279819086686,0.00693856155995967,0.006987119481148,0.00107232972814487,0.00419082686734686,21168791
"120",2020-07-05,"BRMG",2325,18,58283,1201,679.480567503808,86610.847266901,0.00699489641355251,0.00697070049246255,0.00701917632083553,8.1548585088465e-05,0.00409144042599792,21168791
"121",2020-07-06,"BRMG",1343,29,59626,1230,0,80062.5646207595,0.00696549677860606,0.0069416502412265,0.00698942523560491,0,0.00378210378763527,21168791
