"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
2020-11-16,"BR","BRSC",6819190,0.0660377358490566,0.00188679245283019,0,0.00754716981132075
2020-11-17,"BR","BRSC",6819190,0.0660377358490566,0.00188679245283019,0,0.00754716981132075
2020-11-18,"BR","BRSC",6819190,0.0689655172413793,0.00172413793103448,0,0.00689655172413793
2020-11-19,"BR","BRSC",6819190,0.0689655172413793,0.00172413793103448,0,0.00689655172413793
2020-11-20,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-21,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-22,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-23,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-24,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-25,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-26,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-27,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-28,"BR","BRSC",6819190,0.0586734693877551,0.00510204081632653,0,0.00510204081632653
2020-11-29,"BR","BRSC",6819190,0.0517711171662125,0.00544959128065395,0,0.00544959128065395
2020-11-30,"BR","BRSC",6819190,0.0517711171662125,0.00544959128065395,0,0.00544959128065395
2020-12-01,"BR","BRSC",6819190,0.0517711171662125,0.00544959128065395,0,0.00544959128065395
2020-12-02,"BR","BRSC",6819190,0.0517711171662125,0.00544959128065395,0,0.00544959128065395
2020-12-03,"BR","BRSC",6819190,0.0492505353319058,0.00535331905781585,0,0.00642398286937901
2020-12-04,"BR","BRSC",6819190,0.0492505353319058,0.00535331905781585,0,0.00642398286937901
2020-12-05,"BR","BRSC",6819190,0.0432098765432099,0.00440917107583774,0,0.00529100529100529
2020-12-06,"BR","BRSC",6819190,0.0432098765432099,0.00440917107583774,0,0.00529100529100529
