"date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-05-08,"C. Valenciana","ESVC",5003769,8,7,11687,1378,54,105322.9153475,104993.250346886,105653.615452868,36.7074070302042,3540.3128725063,6074.22507749376,0.0210487165469668,0.0209828332097037,0.0211148067492461,7.33595156575058e-06,0.000707529238960931,0.0012139299550986
2020-05-09,"C. Valenciana","ESVC",5003769,7,8,11694,1386,54,105569.686173926,105240.037466797,105900.367456419,302.608574801692,3371.33588028782,5619.12479469109,0.0210980335371048,0.0210321534560842,0.0211641199776447,6.04761280550106e-05,0.000673759296300013,0.00112297845777675
2020-05-10,"C. Valenciana","ESVC",5003769,8,5,11702,1391,49,105626.491444002,105297.130829303,105956.882271146,56.8052700768603,2163.79691471117,5068.06848002445,0.0211093860336084,0.0210435635276735,0.0211754144268342,1.13524965035077e-05,0.000432433414634283,0.00101285020951696
2020-05-11,"C. Valenciana","ESVC",5003769,20,7,11722,1398,50,105971.047232212,105641.293041824,106301.830734367,344.555788209051,2458.84163300299,5084.55645636226,0.0211782452851464,0.0211123441233646,0.0212443521542195,6.88592515380008e-05,0.000491397910855394,0.00101614532092954
2020-05-12,"C. Valenciana","ESVC",5003769,19,4,11741,1402,46,106102.424690792,105772.625535761,106433.252159927,131.377458580348,2380.58769444008,4955.1007928727,0.0212045009853156,0.0211385908373789,0.0212706166411613,2.62557001692819e-05,0.000475758911820286,0.000990273690266818
2020-05-13,"C. Valenciana","ESVC",5003769,12,7,11753,1409,43,106414.767905167,106084.67728183,106745.885630838,312.343214375258,2274.15476516797,4998.02690865462,0.0212669225747965,0.0212009541771073,0.0213330962382232,6.24215894809009e-05,0.000454488359708046,0.000998852446756559
2020-05-14,"C. Valenciana","ESVC",5003769,19,8,11772,1417,46,106879.659713376,106548.909779851,107211.436363352,464.891808208864,2451.33535749721,5152.89498675837,0.0213598309021412,0.0212937307417372,0.0214261362511642,9.29083273446204e-05,0.000489897786547943,0.00102980273205225
2020-05-15,"C. Valenciana","ESVC",5003769,13,2,11785,1419,41,106850.269580276,106519.767804263,107181.796813123,0,2129.21394669126,4681.3094197382,0.0213539573030401,0.0212879067367544,0.0214202128062114,0,0.000425522030831412,0.000935556661336325
2020-05-16,"C. Valenciana","ESVC",5003769,8,3,11793,1422,36,106862.368978106,106532.090026242,107193.671886095,0,2129.21394669126,3416.96518408469,0.021356375359875,0.0212903693248513,0.0214225860318682,0,0.000425522030831412,0.000682878283167087
2020-05-17,"C. Valenciana","ESVC",5003769,7,2,11800,1424,33,106802.284713262,106472.350902283,107133.240914736,0,2050.82864548814,3367.45411416746,0.0213443675583868,0.0212784304995461,0.0214105089413073,0,0.000409856779057575,0.000672983527850198
2020-05-18,"C. Valenciana","ESVC",5003769,10,4,11810,1428,30,106932.542710382,106602.574210415,107263.53256665,0,1649.28952128228,3157.8227170242,0.0213703995349069,0.0213044555434943,0.0214365476437162,0,0.000329609444657073,0.000631088828645807
2020-05-19,"C. Valenciana","ESVC",5003769,12,2,11822,1430,28,106944.453966383,106614.610274205,107275.318127152,0,1649.28952128228,2739.04657337684,0.0213727799917188,0.0213068609430622,0.0214389029803638,0,0.000329609444657073,0.000547396687052667
