"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"222",2020-08-09,"Castilla La Mancha","ESCM",2032863,116,0,20624,2899,4,219917.626613894,219375.95563796,220460.635053843,0,1.93267624126747e-12,1.13686837721616e-13,0.108181233370815,0.107914776174272,0.108448348488729,0,9.50716423717423e-19,5.59244955127896e-20
"223",2020-08-10,"Castilla La Mancha","ESCM",2032863,180,0,20804,2899,3,221080.249690912,220535.640737744,221626.203546476,0,1.93267624126747e-12,1.13686837721616e-13,0.108753147502272,0.108485245064593,0.109021711520391,0,9.50716423717423e-19,5.59244955127896e-20
"224",2020-08-11,"Castilla La Mancha","ESCM",2032863,202,1,21006,2900,4,222477.45871286,221929.377551295,223026.893426455,0,1.93267624126747e-12,1.13686837721616e-13,0.109440458463192,0.10917084798695,0.109710734774776,0,9.50716423717423e-19,5.59244955127896e-20
"225",2020-08-12,"Castilla La Mancha","ESCM",2032863,204,1,21210,2901,5,223799.466676308,223248.091054354,224352.204079565,0,1.93267624126747e-12,1.13686837721616e-13,0.110090776740148,0.109819545662622,0.110362677701136,0,9.50716423717423e-19,5.59244955127896e-20
"226",2020-08-13,"Castilla La Mancha","ESCM",2032863,250,0,21460,2901,3,225414.204675846,224858.751336243,225971.030114203,0,1.93267624126747e-12,1.13686837721616e-13,0.110885093917222,0.110611856940799,0.111159005852437,0,9.50716423717423e-19,5.59244955127896e-20
"227",2020-08-14,"Castilla La Mancha","ESCM",2032863,211,0,21671,2901,3,226489.284209872,225931.070610781,227048.877001392,0,1.93267624126747e-12,1.13686837721616e-13,0.111413943885973,0.111139349090805,0.111689217129434,0,9.50716423717423e-19,5.59244955127896e-20
"228",2020-08-15,"Castilla La Mancha","ESCM",2032863,198,0,21869,2901,2,227293.99640734,226733.677142003,227855.700370719,0,1.93267624126747e-12,1.13686837721616e-13,0.111809795548121,0.111534164939793,0.112086107313045,0,9.50716423717423e-19,5.59244955127896e-20
"229",2020-08-16,"Castilla La Mancha","ESCM",2032863,172,1,22041,2902,3,227788.312971524,227226.696010426,228351.318033653,1155.88978314525,1155.88978314525,1155.88978314525,0.112052958301432,0.111776689334414,0.112329910099034,0.000568601909299962,0.000568601909299963,0.000568601909299962
"230",2020-08-17,"Castilla La Mancha","ESCM",2032863,256,0,22297,2902,3,228973.04932785,228408.371704173,229539.122963486,13402.516729541,14558.4065126863,14558.4065126863,0.112635750332339,0.11235797577317,0.112914211613614,0.00659292668986597,0.00716152859916593,0.00716152859916593
"231",2020-08-18,"Castilla La Mancha","ESCM",2032863,273,0,22570,2902,2,230236.408684455,229668.469365062,230805.752441608,1263.3593566058,15821.7658692921,15821.7658692921,0.113257218358766,0.112977839315813,0.113537288268618,0.000621468026426669,0.0077829966255926,0.0077829966255926
"232",2020-08-19,"Castilla La Mancha","ESCM",2032863,295,0,22865,2902,1,231610.292530982,231038.810735954,232183.187904278,1373.88384652653,17195.6497158186,17195.6497158186,0.113933055267857,0.113651933620689,0.114214872278298,0.000675836909091527,0.00845883353468413,0.00845883353468413
"233",2020-08-20,"Castilla La Mancha","ESCM",2032863,333,1,23198,2903,2,233315.136338807,232739.338224744,233892.358979855,1704.84380782454,18900.4935236431,18900.4935236431,0.11477169702966,0.114488452111502,0.115055642696953,0.0008386417618032,0.00929747529648733,0.00929747529648733
"234",2020-08-21,"Castilla La Mancha","ESCM",2032863,373,1,23571,2904,3,235266.478049788,234685.744585175,235848.648548242,1951.34171098183,20851.8352346249,20851.8352346249,0.115731595316452,0.115445922615137,0.116017974919236,0.000959898286791498,0.0102573735832788,0.0102573735832788
"235",2020-08-22,"Castilla La Mancha","ESCM",2032863,316,2,23887,2906,5,236555.37069093,235971.378594128,237140.80807644,1288.89264114134,22140.7278757663,22140.7278757663,0.116365623601261,0.116078347923164,0.116653610241536,0.000634028284808834,0.0108914018680877,0.0108914018680877
"236",2020-08-23,"Castilla La Mancha","ESCM",2032863,303,0,24190,2906,4,237378.261147056,236792.039216368,237965.934377176,822.890456126246,22963.6183318925,22963.6183318925,0.11677041745905,0.116482044887613,0.117059503949443,0.000404793857788865,0.0112961957258765,0.0112961957258765
"237",2020-08-24,"Castilla La Mancha","ESCM",2032863,395,1,24585,2907,5,239025.52782022,238435.084106668,239617.433666663,1647.26667316395,24610.8850050565,24610.8850050565,0.117580736045774,0.117290286707303,0.117871904632365,0.000810318586724215,0.0121065143126007,0.0121065143126007
"238",2020-08-25,"Castilla La Mancha","ESCM",2032863,394,2,24979,2909,7,240587.285576855,239992.878002719,241183.165362863,1561.75775663485,26172.6427616913,26172.6427616913,0.118348991337269,0.118056592108135,0.118642114772546,0.00076825529149522,0.012874769604096,0.012874769604096
"239",2020-08-26,"Castilla La Mancha","ESCM",2032863,444,2,25423,2911,9,242457.125321462,241857.982790913,243057.752077454,1869.8397446069,28042.4825062982,28042.4825062982,0.11926879741599,0.118974068980995,0.119564255966808,0.000919806078720946,0.0137945756828169,0.0137945756828169
"240",2020-08-27,"Castilla La Mancha","ESCM",2032863,492,0,25915,2911,8,244422.813122561,243818.574507204,245028.549180453,1965.68780109941,30008.1703073976,30008.1703073976,0.120235752789323,0.119938517503247,0.120533724692935,0.000966955373332788,0.0147615310561497,0.0147615310561497
"241",2020-08-28,"Castilla La Mancha","ESCM",2032863,487,1,26402,2912,8,246206.384004306,245597.542841168,246816.734496722,1783.57088174505,30635.8514059974,31791.7411891427,0.121113121742245,0.120813622384375,0.121413363564944,0.000877368952922578,0.0150702980997723,0.0156389000090723
