"","date","total_cases","total_deaths","total_cases_daily","total_cases_active","total_cases_contagious","total_cases_infected","total_cum_cases","total_cum_deaths"
"295","2020-10-21",20931,140,23746.646644974,240859.387255227,195574.288174653,3145147.20440218,1093469,35928
"296","2020-10-22",19865,169,22700.9314349909,262188.227933292,213277.651693084,3170495.04185768,1113334,36097
"297","2020-10-23",20769,160,19182.1232858098,274895.613266604,229769.698097971,3194870.3411917,1134103,36257
"298","2020-10-24",16008,143,11244.0745532439,276453.075000207,216288.886331819,3202944.59175388,1150111,36400
"299","2020-10-25",13481,150,6798.68811167212,272839.070132594,204393.143740624,3204923.25576822,1163592,36550
"300","2020-10-26",19022,161,11075.6753357218,274917.472711716,197739.87569402,3221541.62190466,1182614,36711
"301","2020-10-27",20676,194,14419.0045469948,280994.785443086,194463.269993183,3244214.45709979,1203290,36905
"302","2020-10-28",19431,178,13720.06463955,289717.282166076,190428.468551484,3260752.76650395,1222721,37083
"303","2020-10-29",18269,197,22726.0067931532,309753.212078306,201413.76166873,3274532.71710383,1240990,37280
"304","2020-10-30",18292,173,8733.36514025792,293761.690899169,203366.766652502,3285163.25128885,1259282,37453
"305","2020-10-31",12553,156,4698.95903207445,279766.219228376,185410.364559021,3279797.78877414,1271835,37609
"306","2020-11-01",9429,159,4847.35693491038,266884.63278096,163892.896453353,3267593.2782666,1281264,37768
"307","2020-11-02",9376,186,3797.9134798042,252986.936012933,143944.163288183,3259004.87705669,1290640,37954
"308","2020-11-03",10409,186,3697.87914839775,238929.949080082,124941.11100159,3253690.69529265,1301049,38140
"309","2020-11-04",4781,200,2197.31768423617,229386.553088411,107956.305400017,3239464.80132716,1305830,38340
"310","2020-11-05",2,163,1323.55432102545,223929.747252951,98035.7851677982,3212447.07250583,1305832,38503
"311","2020-11-06",0,144,0,201274.386127395,91237.097056126,0,1305832,38647
"312","2020-11-07",0,102,0,174909.561086817,80161.4217204043,0,1305832,38749
"313","2020-11-08",0,61,0,151162.914441843,65742.4171734094,0,1305832,38810
