"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","fatalities_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","fatalities_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","fatalities_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","fatalities_p_w_provs","fatalities_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","fatalities_p_w_regs_only","fatalities_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","fatalities_p_w_regs_rhs","fatalities_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","fatalities_p_w_regs","fatalities_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESVA",519546,0.0628140703517588,0.0680952380952381,0.00251256281407035,0.00285714285714286,0,0,0.00753768844221105,0.00857142857142857,398,7,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESBU",356958,0.0769230769230769,0.111207602339181,0.0034965034965035,0.00488888888888889,0.00233100233100233,0.00288888888888889,0.0128205128205128,0.0132777777777778,858,15,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESSO",88636,0,0,0,0,0,0,0,0,0,0,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCM","ESCU",196329,0,0,0,0,0,0,0,0,0,0,2032863,0.2,0.2,0,0,0,0,0,0,50,1,0.0875315974021147,0.0891135271400518,0.000785760048136855,0.00126594674422049,0.00858269145982337,0.00805000737524228,0.0389749543027423,0.0389487623011378,480,480,0.0981418240622926,0.0995745151457073,0.00071163174170885,0.00114651780608648,0.00777300358625512,0.00729057271720056,0.0352980718213515,0.0352743507632946
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCM","ESTO",694844,0.0551724137931034,0.0598005698005698,0.00229885057471264,0.0037037037037037,0.00727272727272727,0.00571428571428571,0.00229885057471264,0.00222222222222222,435,9,2032863,0.2,0.2,0,0,0,0,0,0,50,1,0.0875315974021147,0.0891135271400518,0.000785760048136855,0.00126594674422049,0.00858269145982337,0.00805000737524228,0.0389749543027423,0.0389487623011378,480,480,0.0981418240622926,0.0995745151457073,0.00071163174170885,0.00114651780608648,0.00777300358625512,0.00729057271720056,0.0352980718213515,0.0352743507632946
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCM","ESCR",495761,0.125,0.125,0,0,0.025,0.025,0,0,40,1,2032863,0.2,0.2,0,0,0,0,0,0,50,1,0.0875315974021147,0.0891135271400518,0.000785760048136855,0.00126594674422049,0.00858269145982337,0.00805000737524228,0.0389749543027423,0.0389487623011378,480,480,0.0981418240622926,0.0995745151457073,0.00071163174170885,0.00114651780608648,0.00777300358625512,0.00729057271720056,0.0352980718213515,0.0352743507632946
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCM","ESGU",257762,0,0,0,0,0,0,0,0,0,0,2032863,0.2,0.2,0,0,0,0,0,0,50,1,0.0875315974021147,0.0891135271400518,0.000785760048136855,0.00126594674422049,0.00858269145982337,0.00805000737524228,0.0389749543027423,0.0389487623011378,480,480,0.0981418240622926,0.0995745151457073,0.00071163174170885,0.00114651780608648,0.00777300358625512,0.00729057271720056,0.0352980718213515,0.0352743507632946
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCM","ESAB",388167,0.2,0.2,0,0,0,0,0.2,0.2,5,1,2032863,0.2,0.2,0,0,0,0,0,0,50,1,0.0875315974021147,0.0891135271400518,0.000785760048136855,0.00126594674422049,0.00858269145982337,0.00805000737524228,0.0389749543027423,0.0389487623011378,480,480,0.0981418240622926,0.0995745151457073,0.00071163174170885,0.00114651780608648,0.00777300358625512,0.00729057271720056,0.0352980718213515,0.0352743507632946
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCN","ESTF",1032983,0.0514018691588785,0.0607142857142857,0,0,0,0,0,0,214,2,2153389,0,0,0,0,0,0,0,0,0,0,0.03441313646041,0.0399023283763407,0.00162593416702695,0.00111492628596134,0.00165174264586865,0.00332413207481066,0.00162593416702695,0.00111492628596134,854,854,0.03441313646041,0.0399023283763407,0.00162593416702695,0.00111492628596134,0.00165174264586865,0.00332413207481066,0.00162593416702695,0.00111492628596134
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCN","ESGC",1120406,0.01875,0.0207142857142857,0.003125,0.00214285714285714,0.00317460317460317,0.00638888888888889,0.003125,0.00214285714285714,640,7,2153389,0,0,0,0,0,0,0,0,0,0,0.03441313646041,0.0399023283763407,0.00162593416702695,0.00111492628596134,0.00165174264586865,0.00332413207481066,0.00162593416702695,0.00111492628596134,854,854,0.03441313646041,0.0399023283763407,0.00162593416702695,0.00111492628596134,0.00165174264586865,0.00332413207481066,0.00162593416702695,0.00111492628596134
