"","yhat","yhat_lower","yhat_upper","trend","trend_lower","trend_upper","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active","y","cap","floor","date"
"196",1.6045097780409,0,6.862674627409,1.6045097780409,1.6045097780409,1.6045097780409,"SK",5450421,235,0,1004,2,6256,39,1642,2339,0.00114780124324341,4.31159354479223e-05,0.000301261131938248,0.000429141161756129,0,150,0,2020-09-19
"197",1.68338775973133,0,6.61305009431129,1.68338775973133,1.68338775973133,1.68338775973133,"SK",5450421,290,0,1093,1,6546,39,1910,2557,0.00120100814230681,5.32068990633935e-05,0.000350431645555453,0.000469138072086542,0,150,0,2020-09-20
"198",1.7660972477279,0,6.8482682761281,1.7660972477279,1.7660972477279,1.7660972477279,"SK",5450421,131,0,1145,1,6677,39,1950,2635,0.0012250429829182,2.4034840611395e-05,0.000357770528184887,0.000483448893213937,0,150,0,2020-09-21
"199",1.85281971556736,0,6.68724775663761,1.85281971556736,1.85281971556736,1.85281971556736,"SK",5450421,79,0,1176,1,6756,39,1868,2593,0.00123953727611133,1.44942931931313e-05,0.000342725818794548,0.000475743066453032,0,150,0,2020-09-22
"200",1.94374476731885,0,6.71342208693576,1.94374476731885,1.94374476731885,1.94374476731885,"SK",5450421,175,1,1163,2,6931,40,1910,2631,0.0012716448876151,3.21076115037719e-05,0.000350431645555453,0.000482715004950994,1,150,0,2020-09-23
"201",2.0390704493534,0,7.38386750633976,2.0390704493534,2.0390704493534,2.0390704493534,"SK",5450421,338,1,1409,3,7269,41,2017,2743,0.00133365844583382,6.20135582187137e-05,0.000370063156589188,0.000503263876313408,1,150,0,2020-09-24
"202",2.13900357984755,0,6.87779064080992,2.13900357984755,2.13900357984755,2.13900357984755,"SK",5450421,360,0,1608,2,7629,41,2176,3015,0.00139970838949872,6.60499436649022e-05,0.000399235215041187,0.000553168278193556,0,150,0,2020-09-25
"203",2.24376007869135,0,7.53638355009846,2.24376007869135,2.24376007869135,2.24376007869135,"SK",5450421,419,0,1792,2,8048,41,2516,3412,0.00147658318504204,7.68747955433168e-05,0.000461615717391372,0.000626006688290684,0,150,0,2020-09-26
"204",2.35356530565047,0,7.66078683643505,2.35356530565047,2.35356530565047,2.35356530565047,"SK",5450421,552,3,2054,5,8600,44,3020,3873,0.00157785976532822,0.000101276580286183,0.000554085638522235,0.000710587310594906,3,150,0,2020-09-27
"205",2.46865440459058,0,7.80627864862008,2.46865440459058,2.46865440459058,2.46865440459058,"SK",5450421,478,0,2401,5,9078,44,3310,4190,0.00166555941274995,8.76996474217313e-05,0.000607292537585629,0.000768747955433167,0,150,0,2020-09-28
"206",2.58927265310458,0,7.62368022723501,2.58927265310458,2.58927265310458,2.58927265310458,"SK",5450421,265,0,2587,5,9343,44,3483,4322,0.00171417951016995,4.86200974199975e-05,0.000639033204957929,0.000792966268110298,0,150,0,2020-09-29
"207",2.71567581677165,0,7.83242426548949,2.71567581677165,2.71567581677165,2.71567581677165,"SK",5450421,231,1,2643,5,9574,45,3553,4322,0.00175656155735493,4.23820471849789e-05,0.000651876249559438,0.000792966268110298,1,150,0,2020-09-30
"208",2.84813050715577,0,8.23163105288971,2.84813050715577,2.84813050715577,2.84813050715577,"SK",5450421,567,3,2872,7,10141,48,3885,4688,0.00186059021862715,0.000104028661272221,0.000712788975383736,0.000860117044169616,3,150,0,2020-10-01
